stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
20774,625,PIERRET,,+49.164096,+06.188652,0,10397
10397,5PIER,PIERRET,,+49.163816,+06.188608,1,
20776,626,CENTRALE,,+49.155008,+06.185911,0,10398
10398,CENTR,CENTRALE,,+49.154849,+06.186189,1,
20855,641,GOUJENOTTE,,+49.151666,+06.189128,0,10440
10440,1GOUJ,GOUJENOTTE,,+49.151719,+06.188585,1,
20778,627,GRANGE-AUX-DAMES,,+49.146147,+06.190660,0,10399
10399,DAMES,GRANGE-AUX-DAMES,,+49.146299,+06.190807,1,
20780,628,LES SILOS,,+49.140376,+06.186403,0,10400
10400,SILOS,LES SILOS,,+49.140552,+06.186841,1,
20782,629,PORT DE METZ,,+49.137322,+06.180787,0,10401
10401,PORTM,PORT DE METZ,,+49.137430,+06.180954,1,
20811,209,TCRM,,+49.128066,+06.185530,0,10419
10419,TCRM,TCRM,,+49.127722,+06.185036,1,
20678,612,BLIDA,,+49.125879,+06.181409,0,10348
10348,BLIDA,BLIDA,,+49.125785,+06.181426,1,
20192,170,RIMPORT,,+49.124126,+06.181019,0,10091
10091,RIMPO,RIMPORT,,+49.124273,+06.181587,1,
20194,171,ST GEORGES,,+49.122724,+06.178301,0,10092
10092,GEORG,ST GEORGES,,+49.122576,+06.178165,1,
21206,917,POLE MULTIMODAL,PEM8,+49.107628,+06.177904,0,10619
21207,916,POLE MULTIMODAL,PEM4,+49.107382,+06.177498,0,10619
